total_price,unit_price,customers,s,comp_2,qty
45.95,45.95,57,10.26739356,215.0,1
137.85,45.95,61,6.503115265,209.0,3
275.7,45.95,123,12.07165109,205.0,6
183.8,45.95,90,9.293873313,199.5098039,4
91.9,45.95,54,5.555555556,163.3987097,2
137.85,45.95,50,8.333333333,45.95,3
445.85,40.53181818,97,30.55555556,40.53181818,11
239.94,39.99,41,16.66666667,39.99,6
759.81,39.99,62,17.75700935,39.99,19
719.82,39.99,62,16.82242991,39.99,18
679.83,39.99,43,15.88785047,39.99,17
519.87,39.99,34,12.14953271,39.99,13
759.81,39.99,57,10.26739356,39.99,19
199.95,39.99,43,6.503115265,39.99,5
319.92,39.99,26,12.07165109,39.99,8
313.92,39.24,15,9.293873313,39.24,8
419.4,69.9,21,9.107142857,69.9,6
247.9,82.63333333,17,7.678571429,82.63333333,3
1956.0,97.58823529,34,19.04761905,59.9,20
712.0,89.0,26,7.619047619,59.9,8
890.0,89.0,74,9.523809524,59.9,10
683.0,97.33333333,113,6.666666667,59.9,7
891.0,99.0,115,8.571428571,59.9,9
1386.0,99.0,146,13.33333333,59.9,14
1683.0,99.0,339,16.19047619,53.64828125,17
1089.0,99.0,184,10.47619048,55.425,11
398.0,99.5,137,50.0,49.9,4
202.0,101.0,160,25.0,50.9,2
101.0,101.0,116,9.107142857,53.9,1
101.0,101.0,111,7.678571429,53.9,1
258.7,19.9,13,7.59180791,19.9,13
477.6,19.9,33,20.33898305,19.9,24
179.1,19.9,17,7.627118644,19.9,9
603.2,21.54285714,38,23.72881356,20.66666667,28
686.0,24.5,49,23.72881356,24.5,28
392.0,24.5,30,13.55932203,24.5,16
162.5,32.5,6,20.83333333,32.5,5
195.0,32.5,13,25.0,32.74285714,6
245.4,35.05714286,13,29.16666667,34.2,7
108.6,36.2,3,12.5,36.2,3
72.4,36.2,2,8.333333333,36.2,2
36.2,36.2,1,7.59180791,36.2,1
59.9,59.9,17,7.879612825,59.9,1
59.9,59.9,34,8.756805808,59.9,1
239.6,59.9,74,8.711433757,59.9,4
359.4,59.9,113,11.31276467,59.9,6
299.5,59.9,115,8.620689655,59.9,5
658.9,59.9,146,18.96551724,59.9,11
1043.6,51.32222222,339,34.48275862,53.64828125,20
571.8,56.97777778,184,17.24137931,55.425,10
548.9,49.9,137,19.29824561,49.9,11
411.2,51.4,160,14.03508772,50.9,8
161.7,53.9,116,5.263157895,53.9,3
431.2,53.9,111,7.879612825,53.9,8
477.1,52.9,102,8.756805808,53.70952381,9
249.5,49.9,58,8.771929825,49.9,5
299.4,49.9,54,8.711433757,49.9,6
349.3,49.9,46,11.31276467,49.9,7
219.89,19.99,19,14.94444444,19.99,11
179.91,19.99,25,9.142857143,89.99,9
259.87,19.99,23,5.777777778,19.99,13
319.84,19.99,41,9.805555556,89.99,16
419.79,19.99,53,7.345238095,89.99,21
579.71,19.99,61,9.123015873,89.99,29
651.72,23.39740741,82,8.007936508,89.99,28
575.76,23.99,89,10.66666667,89.99,24
647.73,23.99,81,12.0,89.99,27
671.72,23.99,139,12.44444444,89.99,28
455.81,23.99,112,8.444444444,89.99,19
455.81,23.99,98,33.92857143,89.99,19
335.86,23.99,126,14.94444444,89.99,14
191.92,23.99,169,9.142857143,83.74,8
167.93,23.99,159,9.805555556,79.99,7
71.97,23.99,131,7.345238095,79.99,3
71.97,23.99,113,9.123015873,79.99,3
47.98,23.99,127,8.007936508,82.82142857,2
134.99,134.99,42,1.428571429,129.99,1
134.99,134.99,39,1.428571429,116.9275,1
1763.88,146.99,33,17.14285714,119.99,12
807.89,157.3603704,42,38.57142857,129.99,27
807.89,166.99,38,41.42857143,129.99,29
2170.87,166.99,102,34.21052632,129.99,13
1415.92,176.99,20,21.05263158,129.99,8
1911.89,173.8081818,45,28.94736842,129.99,11
1019.94,169.99,18,15.78947368,129.99,6
110.99,110.99,98,0.641025641,89.99,1
221.98,110.99,126,1.282051282,89.99,2
998.91,110.99,169,5.769230769,83.74,9
1514.87,116.5284615,118,8.333333333,79.99,13
2759.77,119.99,159,14.74358974,79.99,23
807.89,122.99,131,27.56410256,79.99,43
4058.67,122.99,113,21.15384615,79.99,33
3935.68,122.99,127,20.51282051,82.82142857,32
227.96,56.99,4,4.166666667,56.99,4
398.93,56.99,7,13.16964286,56.99,7
398.93,56.99,8,8.407738095,142.5,7
968.83,56.99,18,17.70833333,142.5,17
968.83,56.99,19,17.70833333,142.5,17
1139.8,56.99,27,20.83333333,118.05,20
1367.76,56.99,34,25.0,118.0,24
569.9,56.99,15,23.80952381,117.9,10
227.96,56.99,12,9.523809524,117.8888889,4
706.86,50.49,18,33.33333333,117.7,14
99.98,49.99,10,4.761904762,117.975,2
399.92,49.99,13,13.16964286,118.7,8
199.96,49.99,19,8.407738095,116.9066667,4
199.98,99.99,33,9.703196347,129.99,2
1799.82,99.99,58,24.65753425,129.99,18
1099.89,99.99,42,15.06849315,129.99,11
1399.86,99.99,42,19.17808219,129.99,14
799.92,99.99,39,10.95890411,116.9275,8
599.94,99.99,10,8.219178082,99.99,6
899.91,99.99,33,12.32876712,119.99,9
199.98,99.99,42,2.739726027,129.99,2
299.97,99.99,38,4.109589041,129.99,3
599.94,99.99,102,25.0,129.99,6
899.91,99.99,20,37.5,129.99,9
489.76,97.952,45,20.83333333,129.99,5
338.77,84.6925,18,9.703196347,129.99,4
539.94,89.99,25,9.134440538,89.99,6
539.94,89.99,41,9.134440538,89.99,6
809.91,89.99,53,8.83440417,89.99,9
1529.83,89.99,61,10.24669657,89.99,17
1619.82,89.99,82,9.261728694,89.99,18
1889.79,89.99,89,14.38356164,89.99,21
2159.76,89.99,81,16.43835616,89.99,24
2339.74,89.99,139,17.80821918,89.99,26
1709.81,89.99,112,13.01369863,89.99,19
1799.8,89.99,98,17.69911504,89.99,20
1529.83,89.99,126,15.04424779,89.99,17
1339.84,83.74,169,9.134440538,83.74,16
1119.86,79.99,118,12.38938053,79.99,14
1279.84,79.99,159,9.134440538,79.99,16
1039.87,79.99,131,8.83440417,79.99,13
799.9,79.99,113,10.24669657,79.99,10
579.75,82.82142857,127,9.261728694,82.82142857,7
778.7,59.9,74,4.072301967,59.9,13
1377.7,59.9,113,7.387028177,59.9,23
778.7,59.9,115,6.565656566,59.9,13
2156.4,59.9,146,18.18181818,59.9,36
3711.7,53.78571429,339,34.84848485,53.64828125,69
2468.6,55.75,184,22.22222222,55.425,44
1946.1,49.9,137,20.52631579,49.9,39
2411.2,50.35714286,160,25.26315789,50.9,48
1401.4,53.9,116,13.68421053,53.9,26
1509.2,53.9,111,14.73684211,53.9,28
1319.5,53.05789474,102,13.15789474,53.70952381,25
748.5,49.9,58,7.894736842,49.9,15
149.7,49.9,54,4.072301967,49.9,3
299.4,49.9,46,7.387028177,49.9,6
167.0,167.0,31,33.33333333,167.0,1
239.8,119.9,35,66.66666667,119.9,2
807.89,93.09489362,152,45.96774194,150.3545455,57
3465.8,77.155,202,36.29032258,149.9,45
528.0,88.0,127,4.838709677,149.9,6
880.0,88.0,107,8.064516129,149.9,10
269.7,89.9,66,2.419354839,149.9,3
236.7,78.9,43,2.419354839,149.9,3
179.7,59.9,34,9.115164065,59.9,3
179.7,59.9,26,2.429117553,59.9,3
1138.1,59.9,74,8.407666985,59.9,19
1617.3,59.9,113,9.071360306,59.9,27
1018.3,59.9,115,7.762557078,59.9,17
1856.9,59.9,146,14.15525114,59.9,31
807.89,53.64828125,339,39.7260274,53.64828125,87
1769.7,55.425,184,14.61187215,55.425,32
1447.1,49.9,137,16.86046512,49.9,29
1828.4,50.9,160,20.93023256,50.9,36
1886.5,53.9,116,20.34883721,53.9,35
700.7,53.9,111,7.558139535,53.9,13
1559.1,53.70952381,102,9.115164065,53.70952381,29
299.4,49.9,58,2.429117553,49.9,6
698.6,49.9,54,8.407666985,49.9,14
499.0,49.9,46,9.071360306,49.9,10
3307.8,150.3545455,152,8.02919708,150.3545455,22
807.89,149.9,202,25.18248175,149.9,69
807.89,149.9,127,18.61313869,149.9,51
807.89,149.9,107,12.77372263,149.9,35
807.89,149.9,78,18.97810219,149.9,52
4047.3,149.9,66,9.854014599,149.9,27
1948.7,149.9,43,4.744525547,149.9,13
749.5,149.9,18,1.824817518,149.9,5
185.97,61.99,98,2.0,89.99,3
805.87,61.99,169,8.666666667,83.74,13
974.85,64.99,118,10.0,79.99,15
2469.62,64.99,159,25.33333333,79.99,38
1741.74,66.99,131,17.33333333,79.99,26
1808.73,66.99,113,18.0,79.99,27
1875.72,66.99,127,18.66666667,82.82142857,28
239.6,59.9,34,14.18617614,59.9,4
59.9,59.9,26,3.065774805,59.9,1
838.6,59.9,74,3.978539576,59.9,14
2336.1,59.9,113,8.507525084,59.9,39
2216.3,59.9,115,13.4057971,59.9,37
2336.1,59.9,146,14.13043478,59.9,39
807.89,52.40694444,339,32.97101449,53.64828125,91
2881.6,55.1,184,18.47826087,55.425,51
598.8,49.9,137,5.769230769,49.9,12
1970.1,50.54516129,160,18.75,50.9,39
1670.9,53.9,116,14.90384615,53.9,31
2479.4,53.9,111,22.11538462,53.9,46
2982.4,53.41515152,102,14.18617614,53.70952381,56
598.8,49.9,58,3.065774805,49.9,12
299.46,49.91,54,3.978539576,49.9,6
299.46,49.91,46,8.507525084,49.9,6
994.04,47.35789474,126,13.5483871,89.99,21
2809.65,48.45944444,169,37.41935484,83.74,58
965.91,53.70176471,118,11.61290323,79.99,18
1723.08,52.06928571,159,21.29032258,79.99,33
449.82,49.98,131,5.806451613,79.99,9
257.56,51.512,113,3.225806452,79.99,5
557.85,50.71,127,7.096774194,82.82142857,11
789.95,157.99,17,4.072822823,157.99,5
1016.95,171.792,29,7.526276276,171.792,6
849.5,169.9,48,5.461711712,169.9,5
1604.0,160.4,54,13.51351351,160.4,10
2391.6,149.475,43,21.62162162,149.475,16
3660.0,140.56,91,35.13513514,108.0,26
894.0,149.0,73,8.108108108,108.0,6
1188.0,148.5,59,11.11111111,108.0,8
2043.92,145.9942857,90,19.44444444,108.0,14
1115.7,123.9666667,125,12.5,105.6428571,9
1191.9,119.19,178,13.88888889,105.0,10
2598.9,118.1318182,260,30.55555556,105.0,22
139.9,139.9,93,4.072822823,105.0,1
694.9,138.98,122,7.526276276,105.0,5
414.0,138.0,61,5.461711712,105.0,3
254.97,84.99,82,3.125,89.99,3
339.96,84.99,89,4.166666667,89.99,4
254.97,84.99,81,3.125,89.99,3
3059.64,84.99,139,37.5,89.99,36
807.89,84.99,112,52.08333333,89.99,50
1104.87,84.99,98,50.0,89.99,13
594.93,84.99,126,26.92307692,89.99,7
339.96,84.99,169,15.38461538,83.74,4
169.98,84.99,131,7.692307692,79.99,2
179.99,179.99,3,8.942307692,179.99,1
539.97,179.99,17,10.80128205,179.99,3
359.98,179.99,115,5.0,59.9,2
1079.94,179.99,146,15.0,59.9,6
2339.87,179.99,339,32.5,53.64828125,13
2759.85,183.99,184,37.5,55.425,15
2629.96,187.8542857,137,17.94871795,49.9,14
2148.0,179.0,160,8.942307692,50.9,12
2277.0,175.1538462,116,16.66666667,53.9,13
1969.0,179.0,111,10.80128205,53.9,11
537.0,179.0,102,3.846153846,53.70952381,3
1590.0,159.0,58,12.82051282,49.9,10
1112.0,139.0,54,10.25641026,49.9,8
973.0,139.0,46,8.974358974,49.9,7
179.7,59.9,17,7.139686298,59.9,3
419.3,59.9,34,7.089375555,59.9,7
239.6,59.9,26,3.498076354,59.9,4
1138.1,59.9,74,7.261023972,59.9,19
1257.9,59.9,113,7.074578278,59.9,21
1377.7,59.9,115,10.55045872,59.9,23
1138.1,59.9,146,8.71559633,59.9,19
807.89,53.37910448,339,37.6146789,53.64828125,82
2232.6,55.77096774,184,18.34862385,55.425,40
1247.5,49.9,137,16.12903226,49.9,25
2247.6,51.025,160,28.38709677,50.9,44
1347.5,53.9,116,16.12903226,53.9,25
1078.0,53.9,111,7.139686298,53.9,20
888.3,52.56666667,102,7.089375555,53.70952381,17
399.2,49.9,58,3.498076354,49.9,8
449.1,49.9,54,7.261023972,49.9,9
349.3,49.9,46,7.074578278,49.9,7
652.0,163.0,17,4.781275793,163.0,4
1777.5,161.5909091,29,10.47341115,161.5909091,11
2088.7,160.6692308,48,10.04303738,160.6692308,13
2762.5,148.7785714,54,27.27272727,148.7785714,18
134.9,134.9,43,1.515151515,134.9,1
1995.0,133.0,91,22.72727273,108.0,15
596.0,149.0,73,6.060606061,108.0,4
769.45,128.2416667,90,2.33463035,108.0,6
3640.68,117.4412903,125,12.06225681,105.6428571,31
807.89,105.648625,178,33.07392996,105.0,85
807.89,103.7925234,260,44.35797665,105.0,114
1071.0,119.0,93,4.781275793,105.0,9
1302.0,118.3636364,122,10.47341115,105.0,11
112.0,112.0,61,10.04303738,105.0,1
29.5,29.5,10,100.0,29.5,1
2242.0,29.5,102,67.25663717,129.99,76
910.0,35.0,45,23.00884956,129.99,26
140.0,35.0,18,3.539823009,129.99,4
140.0,35.0,4,3.539823009,35.0,4
130.0,65.0,2,1.769911504,65.0,2
65.0,65.0,1,0.884955752,65.0,1
142.5,142.5,8,12.44918699,142.5,1
142.5,142.5,18,4.166666667,142.5,1
285.0,142.5,19,8.333333333,142.5,2
944.4,118.05,27,33.33333333,118.05,8
1416.0,118.0,34,50.0,118.0,12
707.4,117.9,15,7.317073171,117.9,6
1296.8,117.8888889,12,13.41463415,117.8888889,11
470.8,117.7,18,4.87804878,117.7,4
943.8,117.975,10,9.756097561,117.975,8
2038.3,119.9,16,20.73170732,119.9,17
1668.5,119.1785714,14,17.07317073,119.1785714,14
593.5,118.7,13,6.097560976,118.7,5
1987.4,116.9066667,19,12.44918699,116.9066667,17
1039.92,129.99,22,9.853603604,129.99,8
1819.86,129.99,33,12.55630631,129.99,14
2339.82,129.99,58,16.21621622,129.99,18
2209.83,129.99,42,15.31531532,129.99,17
2079.84,129.99,42,14.41441441,129.99,16
1870.84,116.9275,39,14.41441441,116.9275,16
1199.9,119.99,33,9.009009009,119.99,10
1169.91,129.99,42,8.108108108,129.99,9
389.97,129.99,38,2.702702703,129.99,3
519.96,129.99,102,50.0,129.99,4
259.98,129.99,20,25.0,129.99,2
129.99,129.99,45,9.853603604,129.99,1
129.99,129.99,18,12.55630631,129.99,1
379.6,94.9,11,10.81081081,94.9,4
611.4,100.9,15,10.06889242,100.9,6
1099.0,109.9,17,22.33704293,109.9,10
219.8,109.9,15,3.192898781,109.9,2
395.6,98.9,15,10.81081081,98.9,4
395.6,98.9,31,10.81081081,98.9,4
593.4,98.9,36,16.21621622,98.9,6
98.9,98.9,35,2.702702703,98.9,1
2795.14,90.534,152,30.39215686,150.3545455,31
2537.19,84.75608696,202,29.41176471,149.9,30
1139.8,87.5,127,12.74509804,149.9,13
470.0,94.0,107,4.901960784,149.9,5
292.0,73.0,66,10.06889242,149.9,4
1199.48,66.34214286,43,22.33704293,149.9,18
79.9,79.9,18,3.192898781,149.9,1
19.9,19.9,13,1.369863014,19.9,1
218.9,19.9,33,15.06849315,19.9,11
179.1,19.9,17,12.32876712,19.9,9
248.0,20.66666667,38,16.43835616,20.66666667,12
563.5,24.5,49,31.50684932,24.5,23
416.5,24.5,30,23.28767123,24.5,17
271.2,27.03333333,9,41.66666667,27.03333333,10
32.5,32.5,6,4.166666667,32.5,1
229.2,32.74285714,13,29.16666667,32.74285714,7
205.2,34.2,13,25.0,34.2,6
2799.2,89.9,9,12.77173913,349.9,8
1399.6,89.9,19,11.27717391,349.9,4
699.8,89.9,25,10.80163043,89.99,2
349.9,89.9,23,4.585597826,349.9,1
1399.6,89.9,41,8.559782609,89.99,4
699.8,89.9,53,7.54076087,89.99,2
349.9,89.9,61,6.75951087,89.99,1
2449.3,89.9,82,10.36005435,89.99,7
2449.3,89.9,89,10.9375,89.99,7
3499.0,89.9,81,15.625,89.99,10
3543.5,89.9,139,17.1875,89.99,11
2449.3,89.9,112,10.9375,89.99,7
4198.8,89.9,98,12.77173913,89.99,12
807.89,89.9,126,11.27717391,89.99,15
807.89,89.9,169,10.80163043,83.74,17
2449.3,89.9,118,4.585597826,79.99,7
3513.1,89.9,159,8.559782609,79.99,10
4004.0,89.9,131,7.54076087,79.99,11
4004.0,89.9,113,6.75951087,79.99,11
3276.0,89.9,127,10.36005435,82.82142857,9
479.8,239.9,29,31.19469027,239.9,2
479.8,239.9,43,50.0,239.9,2
459.8,229.9,59,1.769911504,108.0,2
2250.8,204.6181818,90,9.734513274,108.0,11
2680.0,167.5,125,14.15929204,105.6428571,16
3908.9,150.3423077,178,23.00884956,105.0,26
807.89,145.1666667,260,26.54867257,105.0,30
457.9,152.6333333,93,2.654867257,105.0,3
2200.0,157.1428571,122,31.19469027,105.0,14
1737.4,157.9454545,61,9.734513274,105.0,11
99.9,99.9,64,25.0,36.85428571,1
299.7,99.9,40,75.0,99.9,3
1298.7,99.9,125,13.40206186,38.4,13
1298.7,99.9,52,13.40206186,38.4,13
1198.8,99.9,83,12.37113402,35.48571429,12
1298.7,99.9,92,13.40206186,35.0,13
1298.7,99.9,95,13.40206186,35.0,13
999.0,99.9,18,10.30927835,35.0,10
1099.5,78.53571429,22,14.43298969,35.0,14
754.5,83.83333333,19,9.278350515,35.0,9
1839.2,229.9,48,12.12121212,229.9,8
2190.6,219.06,54,15.15151515,219.06,10
1729.2,216.15,43,12.12121212,216.15,8
2395.2,203.2909091,91,18.18181818,108.0,12
807.89,224.5428571,73,42.42424242,108.0,28
2207.7,220.77,59,12.98701299,108.0,10
807.89,205.6857143,90,27.27272727,108.0,21
3459.0,216.1875,125,20.77922078,105.6428571,16
2657.0,204.3846154,178,16.88311688,105.0,13
3383.0,199.0,260,22.07792208,105.0,17
64.99,64.99,9,5.642857143,64.99,1
324.95,64.99,19,13.92857143,64.99,5
584.91,64.99,25,11.5,89.99,9
584.91,64.99,23,12.39285714,64.99,9
1039.84,64.99,41,8.142857143,89.99,16
1234.79,58.79952381,53,11.35714286,89.99,21
888.85,59.25666667,61,6.071428571,89.99,15
1297.78,58.99,82,8.964285714,89.99,22
1474.75,58.99,89,14.28571429,89.99,25
1120.81,58.99,81,10.85714286,89.99,19
1415.76,58.99,139,13.71428571,89.99,24
530.91,58.99,112,5.142857143,89.99,9
353.94,58.99,98,5.642857143,89.99,6
825.86,58.99,126,13.92857143,89.99,14
589.9,58.99,169,11.5,83.74,10
648.89,58.99,118,12.39285714,79.99,11
235.96,58.99,159,8.142857143,79.99,4
353.94,58.99,131,11.35714286,79.99,6
117.98,58.99,113,6.071428571,79.99,2
176.97,58.99,127,8.964285714,82.82142857,3
792.0,99.0,50,21.62162162,99.0,8
2178.0,99.0,97,59.45945946,99.0,22
693.0,99.0,41,18.91891892,99.0,7
1082.0,98.3,62,14.86486486,98.3,11
1196.0,92.0,62,17.56756757,92.0,13
276.0,92.0,43,4.054054054,92.0,3
815.0,90.875,34,12.16216216,90.875,9
1235.36,88.24,57,18.91891892,88.24,14
1188.6,84.9,43,18.91891892,84.9,14
764.1,84.9,26,12.16216216,84.9,9
84.9,84.9,15,1.351351351,84.9,1
99.99,99.99,3,11.58685065,99.99,1
1099.89,99.99,21,11.83035714,99.99,11
759.92,96.65666667,17,10.66355519,96.65666667,8
219.98,109.99,34,7.548701299,59.9,2
239.98,119.99,26,9.111201299,59.9,2
240.0,120.0,74,5.204951299,59.9,2
417.0,104.25,115,5.194805195,59.9,4
1105.92,92.594,146,15.58441558,59.9,12
1889.79,89.99,339,27.27272727,53.64828125,21
1259.86,89.99,184,18.18181818,55.425,14
1479.98,123.3316667,137,18.75,49.9,12
1680.0,120.0,160,11.58685065,50.9,14
680.0,113.3333333,116,11.83035714,53.9,6
770.0,110.0,111,10.66355519,53.9,7
880.0,110.0,102,7.548701299,53.70952381,8
969.9,96.65666667,58,9.111201299,49.9,10
499.95,99.99,54,5.204951299,49.9,5
199.98,99.99,46,3.125,49.9,2
179.8,89.9,2,8.872301532,89.9,2
1977.8,89.9,20,9.704691852,89.9,22
3056.6,89.9,31,7.079126045,89.9,34
807.89,89.9,57,18.23424443,215.0,58
807.89,89.9,61,16.08743907,209.0,51
807.89,89.9,123,12.26279596,205.0,60
3326.3,89.9,90,7.887578343,199.5098039,37
2067.7,89.9,54,6.406685237,163.3987097,23
1258.6,89.9,50,3.899721448,89.9,14
3596.0,89.9,97,11.14206128,89.9,40
1594.2,88.48823529,41,5.013927577,88.48823529,18
1477.3,86.9,62,13.28125,86.9,17
1911.8,86.9,62,8.872301532,86.9,22
1477.3,86.9,43,9.704691852,86.9,17
510.27,85.045,34,7.079126045,85.045,6
2174.89,83.64961538,57,18.23424443,83.64961538,26
1837.7,79.9,43,16.08743907,79.9,23
781.3,77.93333333,26,12.26279596,77.93333333,10
518.0,74.0,15,7.887578343,74.0,7
38.4,38.4,14,2.079759863,38.4,1
230.4,38.4,7,11.32075472,38.4,6
307.2,38.4,17,15.09433962,38.4,8
1170.35,34.58117647,64,64.1509434,36.85428571,34
153.6,38.4,40,7.547169811,38.4,4
576.0,38.4,125,34.09090909,38.4,15
153.6,38.4,52,9.090909091,38.4,4
493.4,35.48571429,83,31.81818182,35.48571429,14
140.0,35.0,92,9.090909091,35.0,4
140.0,35.0,95,9.090909091,35.0,4
70.0,35.0,18,4.545454545,35.0,2
35.0,35.0,19,2.079759863,35.0,1
1404.0,108.0,91,50.0,108.0,13
1404.0,108.0,73,50.0,108.0,13
807.89,108.0,59,22.11055276,108.0,44
3564.0,108.0,90,16.58291457,108.0,33
2214.0,105.6428571,125,10.55276382,105.6428571,21
2205.0,105.0,178,10.55276382,105.0,21
3885.0,105.0,260,18.59296482,105.0,37
2940.0,105.0,93,14.07035176,105.0,28
840.0,105.0,122,4.020100503,105.0,8
735.0,105.0,61,3.51758794,105.0,7
78.0,78.0,6,2.740664611,78.0,1
234.0,78.0,17,21.17163412,78.0,3
78.0,78.0,29,16.76944159,78.0,1
390.0,78.0,48,21.97670435,78.0,5
234.0,78.0,43,14.28571429,78.0,3
156.0,78.0,91,9.523809524,108.0,2
468.0,78.0,73,28.57142857,108.0,6
702.0,78.0,59,6.474820144,108.0,9
78.0,78.0,90,0.71942446,108.0,1
78.0,78.0,125,2.740664611,105.6428571,1
1248.0,78.0,178,11.51079137,105.0,16
390.0,78.0,260,3.597122302,105.0,5
3042.0,78.0,93,21.17163412,105.0,39
3120.0,78.0,122,16.76944159,105.0,40
2179.0,77.82142857,61,21.97670435,105.0,28
375.0,75.0,5,2.435113207,38.4,5
975.0,75.0,14,6.064950512,38.4,13
375.0,75.0,17,4.385964912,38.4,5
3300.0,75.0,64,38.59649123,36.85428571,44
3525.0,75.0,40,41.22807018,75.0,47
807.89,69.9953271,125,29.53995157,38.4,122
3075.6,69.9,52,10.65375303,38.4,44
807.89,69.9,83,15.73849879,35.48571429,65
807.89,69.9,92,20.0968523,35.0,83
807.89,69.9,95,22.27602906,35.0,92
179.8,89.9,18,0.484261501,35.0,2
179.8,89.9,22,2.435113207,35.0,2
309.7,103.2333333,19,6.064950512,35.0,3
299.5,59.9,17,6.593851133,59.9,5
119.8,59.9,34,9.30420712,59.9,2
299.5,59.9,26,12.84385113,59.9,5
898.5,59.9,74,13.5315534,59.9,15
1138.1,59.9,113,15.47330097,59.9,19
2036.6,59.9,115,33.00970874,59.9,34
778.7,59.9,146,12.62135922,59.9,13
495.5,54.45,339,8.737864078,53.64828125,9
49.9,49.9,184,0.970873786,55.425,1
49.9,49.9,137,4.166666667,49.9,1
203.6,51.23333333,160,16.66666667,50.9,4
107.8,53.9,116,8.333333333,53.9,2
107.8,53.9,111,6.593851133,53.9,2
199.6,49.9,102,9.30420712,53.70952381,4
249.5,49.9,58,12.84385113,49.9,5
149.7,49.9,54,13.5315534,49.9,3
149.7,49.9,46,15.47330097,49.9,3
38.4,38.4,5,5.93883357,38.4,1
307.2,38.4,14,13.82645804,38.4,8
460.8,38.4,7,16.21621622,38.4,12
960.0,38.4,17,33.78378378,38.4,25
1026.51,36.85428571,64,37.83783784,36.85428571,28
76.8,38.4,125,2.105263158,38.4,2
345.6,38.4,52,9.473684211,38.4,9
601.8,35.48571429,83,17.89473684,35.48571429,17
595.0,35.0,92,17.89473684,35.0,17
385.0,35.0,95,11.57894737,35.0,11
455.0,35.0,18,13.68421053,35.0,13
350.0,35.0,22,5.93883357,35.0,10
560.0,35.0,19,13.82645804,35.0,16
1950.0,89.9,82,16.9688676,89.99,6
3575.0,89.9,89,29.72972973,89.99,11
650.0,89.9,81,5.405405405,89.99,2
